feature	partner	sample_name	feature_match	feature_match_1	feature_match_2	feature_match_3	feature_match_4	evidence	cancerhotspots_bin	cancerhotspots3D_bin	cgc_bin	cosmic_bin	gsea_pathways_bin	gsea_modules_bin
CDK12	ERBB2	ACH-000427	1	1	0	0	0		1	0	1	1	0	0
NF1	RAB11FIP4	ACH-000001	1	1	0	0	0		1	0	1	1	0	0
MET	CFTR	ACH-000674	1	1	0	0	0		1	0	1	1	1	1
RAD51B	POFUT2	ACH-000443	1	1	0	0	0		0	0	1	1	0	1
MYC	PVT1	ACH-000320	1	1	0	0	0		1	0	1	1	1	1
ARID1A	UACA	ACH-000144	1	1	0	0	0		1	0	1	1	0	1
CDKN2A	MTAP	ACH-000504	1	1	0	0	0		1	0	1	1	1	1
KIT	CHIC2	ACH-000883	1	1	0	0	0		1	1	1	1	1	1
POLE2	RPS29	ACH-000364	1	1	0	0	0		0	0	0	1	0	1
PTEN	PAPSS2	ACH-000469	1	1	0	0	0		1	1	1	1	1	0
CCDC30	YBX1	ACH-000008	0	0	0	0	0		0	0	0	1	0	0
JMJD6	RPTOR	ACH-000008	0	0	0	0	0		0	0	0	1	0	0
AKAP6	LARS	ACH-000558	0	0	0	0	0		0	0	0	1	0	1
ARHGAP17	CNOT1	ACH-000558	0	0	0	0	0		0	0	0	1	0	0
CBFB	ABL1	ACH-000558	0	0	0	0	0		1	0	1	1	0	1
CCL17	C7orf50	ACH-000558	0	0	0	0	0		0	0	0	1	0	1
CFAP77	DHX38	ACH-000558	0	0	0	0	0		0	0	0	0	0	0
COX10-AS1	PAFAH1B1	ACH-000558	0	0	0	0	0		0	0	0	0	0	0
CPNE2	MAD1L1	ACH-000558	0	0	0	0	0		0	0	0	1	0	0
EEF2K	SDK1	ACH-000558	0	0	0	0	0		0	0	0	1	0	0
EHMT2	VARS	ACH-000558	0	0	0	0	0		0	0	0	1	0	1
ELMSAN1	DCAF12	ACH-000558	0	0	0	0	0		0	0	0	0	0	0
FUK	CBFB	ACH-000558	0	0	0	0	0		0	0	0	1	0	0
GINS3	ABL1	ACH-000558	0	0	0	0	0		0	0	0	1	0	1
IL34	SNTB2	ACH-000558	0	0	0	0	0		0	0	0	1	0	0
IQCE	NFAT5	ACH-000558	0	0	0	0	0		0	0	0	1	0	0
MAFK	CPNE2	ACH-000558	0	0	0	0	0		0	0	0	1	0	1
NMT1	DBF4B	ACH-000558	0	0	0	0	0		0	1	0	1	0	1
RADIL	PMFBP1	ACH-000558	0	0	0	0	0		0	0	0	1	0	0
RAPGEF1	FAM20C	ACH-000558	0	0	0	0	0		0	0	0	1	1	1
RNF130	ADAMTS2	ACH-000558	0	0	0	0	0		0	0	0	1	0	0
SLC6A2	USB1	ACH-000558	0	0	0	0	0		0	0	0	1	0	1
TNRC6A	SETX	ACH-000558	0	0	0	0	0		0	0	0	1	0	1
ZDHHC1	ADGRG1	ACH-000558	0	0	0	0	0		0	0	0	1	0	0
PIGX	PAK2	ACH-000201	0	0	0	0	0		0	0	0	1	0	0
DNAJB1	GIPC1	ACH-000788	0	0	0	0	0		1	0	1	1	0	1
DNASE2	NFIX	ACH-000788	0	0	0	0	0		0	0	0	1	0	0
JSRP1	AP3D1	ACH-000788	0	0	0	0	0		0	0	0	1	0	0
PALM	GNG7	ACH-000788	0	0	0	0	0		0	0	0	1	0	1
SUPT6H	NEK8	ACH-000788	0	0	0	0	0		0	0	0	1	0	0
RICTOR	MYO10	ACH-000740	0	0	0	0	0		1	0	0	1	0	0
VPS13B	CNOT7	ACH-000740	0	0	0	0	0		0	0	0	1	0	0
MSRB3	HMGA2	ACH-000657	0	0	0	0	0		0	0	0	1	0	0
BLMH	DYNC1LI2	ACH-000219	0	0	0	0	0		0	0	0	1	0	1
COG4	ST3GAL2	ACH-000219	0	0	0	0	0		0	0	0	1	0	1
EP300	L3MBTL2	ACH-000219	0	0	0	0	0		1	1	1	1	1	1
KLHL31	ELOVL5	ACH-000219	0	0	0	0	0		0	0	0	1	0	0
MIR137HG	DPYD	ACH-000219	0	0	0	0	0		0	0	0	0	0	0
PRKCH	HIF1A	ACH-000219	0	0	0	0	0		0	0	0	1	0	1
RTN4	AHCY	ACH-000219	0	0	0	0	0		0	0	0	1	0	0
SLC39A11	LINC00511	ACH-000219	0	0	0	0	0		0	0	0	1	0	0
CCT4	USP34	ACH-000555	0	0	0	0	0		0	0	0	1	0	1
CUX1	SH2B2	ACH-000555	0	0	0	0	0		0	0	1	1	0	1
FYB1	RICTOR	ACH-000681	0	0	0	0	0		0	0	0	0	0	0
WDR72	SCAMP2	ACH-000681	0	0	0	0	0		0	0	0	1	0	0
CHRDL2	SUPT20H	ACH-000052	0	0	0	0	0		0	0	0	1	0	0
SPG7	LINC00221	ACH-000052	0	0	0	0	0		0	0	0	1	0	0
RGMB	GBE1	ACH-000429	0	0	0	0	0		0	0	0	1	0	0
ATF5	IL4I1	ACH-000528	0	0	0	0	0		0	0	0	1	0	1
ICE2	ANXA2	ACH-000528	0	0	0	0	0		0	0	0	0	0	0
KIAA0895	PRKAR1B	ACH-000528	0	0	0	0	0		0	0	0	1	0	0
MAD1L1	SNX8	ACH-000528	0	0	0	0	0		0	0	0	1	1	1
NCOA7	TRMT11	ACH-000528	0	0	0	0	0		0	0	0	1	0	1
SPINT2	SIPA1L3	ACH-000528	0	0	0	0	0		0	0	0	1	0	1
MERTK	TMEM87B	ACH-000880	0	0	0	0	0		0	0	0	1	0	1
PGAM1	ZDHHC16	ACH-000880	0	0	0	0	0		0	0	0	1	1	1
SRPK2	PUS7	ACH-000880	0	0	0	0	0		0	0	0	1	0	1
TANGO6	SLC7A6	ACH-000880	0	0	0	0	0		0	0	0	0	0	0
BCO2	PRCP	ACH-000269	0	0	0	0	0		0	0	0	1	0	0
KIAA1109	PLK4	ACH-000269	0	0	0	0	0		0	0	0	1	0	0
MAML2	YAP1	ACH-000269	0	0	0	0	0		0	0	1	1	0	0
RPL35	SCAI	ACH-000269	0	0	0	0	0		0	0	0	1	0	1
SMG6	YWHAE	ACH-000269	0	0	0	0	0		0	0	0	1	0	0
WDR59	CMTM4	ACH-000269	0	0	0	0	0		0	0	0	1	0	0
YAP1	MAML2	ACH-000269	0	0	0	0	0		0	0	0	1	0	0
PRKG1	VGLL4	ACH-000940	0	0	0	0	0		0	0	0	1	0	1
PTN	CREB3L2	ACH-000940	0	0	0	0	0		0	0	0	1	0	1
SLC35A1	TSHZ2	ACH-000940	0	0	0	0	0		0	0	0	1	0	0
CALB1	NCOA2	ACH-000248	0	0	0	0	0		0	0	0	1	0	1
COLEC10	TAF2	ACH-000248	0	0	0	0	0		0	0	0	1	0	0
CPNE1	PREX1	ACH-000248	0	0	0	0	0		0	0	0	1	0	1
CTNNBL1	VSTM2L	ACH-000248	0	0	0	0	0		0	0	0	1	0	0
EIF3H	CYTH1	ACH-000248	0	0	0	0	0		0	0	0	1	0	1
FBXL7	TRIO	ACH-000248	0	0	0	0	0		0	0	0	1	0	1
GSDMB	TATDN1	ACH-000248	0	0	0	0	0		0	0	0	1	0	1
ITCH	DHX35	ACH-000248	0	0	0	0	0		0	0	0	1	0	1
LINC00536	PVT1	ACH-000248	0	0	0	0	0		0	0	0	0	0	0
LINC00824	SLC45A4	ACH-000248	0	0	0	0	0		0	0	0	0	0	0
LRRFIP2	SUMF1	ACH-000248	0	0	0	0	0		0	0	0	1	0	0
MED24	MSL1	ACH-000248	0	0	0	0	0		0	0	0	1	0	1
MRPL13	SAMD12	ACH-000248	0	0	0	0	0		0	0	0	1	0	1
NARF	FOXK2	ACH-000248	0	0	0	0	0		0	0	0	1	0	1
PCDH1	ANKHD1	ACH-000248	0	0	0	0	0		0	0	0	1	0	1
PKIA	RARA	ACH-000248	0	0	0	0	0		0	0	0	1	0	1
SNTB1	KLHDC2	ACH-000248	0	0	0	0	0		0	0	0	1	0	0
TLK2	ATAD5	ACH-000248	0	0	0	0	0		0	0	0	1	0	0
TRAPPC9	PTK2	ACH-000248	0	0	0	0	0		0	0	0	1	0	0
UQCR10	MTMR3	ACH-000248	0	0	0	0	0		0	0	0	1	0	1
WDR82	PBRM1	ACH-000248	0	0	0	0	0		0	0	0	1	0	0
ZNF704	TBC1D31	ACH-000248	0	0	0	0	0		0	0	0	1	0	0
API5	TTC17	ACH-001016	0	0	0	0	0		0	0	0	1	0	0
ARL17A	ELOVL1	ACH-001016	0	0	0	0	0		0	0	0	1	0	0
CEP152	FBN1	ACH-001016	0	0	0	0	0		0	0	0	1	0	0
EML3	DDX49	ACH-001016	0	0	0	0	0		0	0	0	1	0	0
IMPACT	OSBPL5	ACH-001016	0	0	0	0	0		0	0	0	1	0	0
MACO1	NF1	ACH-001016	0	0	0	0	0		0	0	0	0	0	0
MIGA2	SH3GLB2	ACH-001016	0	0	0	0	0		0	0	0	0	0	0
MRPL20	CCNL2	ACH-001016	0	0	0	0	0		0	0	0	1	0	1
OSBPL1A	ARNTL	ACH-001016	0	0	0	0	0		0	0	0	1	0	0
OXLD1	NPLOC4	ACH-001016	0	0	0	0	0		0	0	0	0	0	0
PGPEP1	LSM4	ACH-001016	0	0	0	0	0		0	0	0	0	0	0
POM121C	AKAP10	ACH-001016	0	0	0	0	0		0	0	0	1	0	0
SAG	GIGYF2	ACH-001016	0	0	0	0	0		0	0	0	1	0	1
SH3GLB2	MIGA2	ACH-001016	0	0	0	0	0		0	1	0	1	0	1
SLC35A1	TSHZ2	ACH-001016	0	0	0	0	0		0	0	0	1	0	0
THRAP3	RSRP1	ACH-001016	0	0	0	0	0		0	0	1	1	0	0
TMEM50A	LRRC37B	ACH-001016	0	0	0	0	0		0	0	0	1	0	0
TXNDC12	NRDC	ACH-001016	0	0	0	0	0		0	0	0	1	0	1
ZBED5-AS1	TAF4B	ACH-001016	0	0	0	0	0		0	0	0	0	0	0
ACVR2A	TEX41	ACH-000603	0	0	0	0	0		0	0	1	1	0	1
C5orf60	HNRNPH1	ACH-000603	0	0	0	0	0		0	0	0	1	0	0
CCDC91	ITPR2	ACH-000603	0	0	0	0	0		0	0	0	1	0	0
FAM72C	CCDC91	ACH-000603	0	0	0	0	0		0	0	0	0	0	0
FAM72D	CCDC91	ACH-000603	0	0	0	0	0		0	0	0	1	0	0
ITPR2	FGFR1OP2	ACH-000603	0	0	0	0	0		0	1	0	1	0	1
KCNH7	SLC38A11	ACH-000603	0	0	0	0	0		0	0	0	1	0	0
LRMP	ITPR2	ACH-000603	0	0	0	0	0		0	0	0	1	0	1
QRICH1	RHOA	ACH-000603	0	0	0	0	0		0	0	0	1	0	0
TRHDE-AS1	FRS2	ACH-000603	0	0	0	0	0		0	0	0	0	0	0
BMS1	PARG	ACH-000802	0	0	0	0	0		0	0	0	1	0	1
CLSTN2	PIK3CB	ACH-000802	0	0	0	0	0		0	0	0	1	0	0
CNGB1	KIFC3	ACH-000792	0	0	0	0	0		0	0	0	1	0	1
MT2A	MYH9	ACH-000792	0	0	0	0	0		0	0	0	1	0	1
C5orf66-AS2	CDC42SE2	ACH-000191	0	0	0	0	0		0	0	0	0	0	0
C8orf37-AS1	PCMTD1	ACH-000191	0	0	0	0	0		0	0	0	0	0	0
DTX2P1	GTF2IRD1	ACH-000191	0	0	0	0	0		0	0	0	0	0	0
ENPP2	UBR5	ACH-000191	0	0	0	0	0		0	0	0	1	0	1
PQLC2	SPIDR	ACH-000191	0	0	0	0	0		0	0	0	1	0	0
RNU4-25P	COL14A1	ACH-000191	0	0	0	0	0		0	0	0	0	0	0
XPO7	FAM160B2	ACH-000191	0	0	0	0	0		0	0	0	1	0	0
CAV1	MET	ACH-000548	0	0	0	0	0		0	0	0	1	1	1
PGAM1P5	FGD6	ACH-000548	0	0	0	0	0		0	0	0	0	0	0
VMP1	RPS6KB1	ACH-000548	0	0	0	0	0		0	0	0	1	0	1
ARHGEF4	PLEKHB2	ACH-000536	0	0	0	0	0		0	0	0	1	0	1
CASC21	PVT1	ACH-000536	0	0	0	0	0		0	0	0	0	0	0
CENPP	CELSR2	ACH-000536	0	0	0	0	0		0	0	0	1	0	0
DOPEY2	MORC3	ACH-000536	0	0	0	0	0		0	0	0	1	0	1
GOPC	FHDC1	ACH-000536	0	0	0	0	0		0	0	1	1	0	0
ILDR1	GOLGB1	ACH-000536	0	0	0	0	0		0	0	0	1	0	0
LCN2	CIZ1	ACH-000536	0	0	0	0	0		0	0	0	1	0	1
MAP3K20	FIGN	ACH-000536	0	0	0	0	0		0	0	0	0	0	0
NMRAL1	CORO7	ACH-000536	0	0	0	0	0		0	0	0	1	0	1
RNF216	ACTB	ACH-000536	0	0	0	0	0		0	0	0	1	0	1
TBK1	RASSF3	ACH-000536	0	0	0	0	0		0	1	0	1	0	0
TYW1	VOPP1	ACH-000536	0	0	0	0	0		0	0	0	1	0	1
USP22	LIMA1	ACH-000536	0	0	0	0	0		0	0	0	1	0	1
ACSF2	MED1	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
BCAS3	MED13	ACH-000927	0	0	0	0	0		0	0	0	1	0	1
CEP250	ZMYND8	ACH-000927	0	0	0	0	0		0	0	0	1	0	1
CIZ1	FAM102A	ACH-000927	0	0	0	0	0		0	0	0	1	0	1
CMTM7	GLB1	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
DOK5	STARD3	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
IKZF3	VAPB	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
LRTOMT	FCHSD2	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
MAP3K11	POLA2	ACH-000927	0	0	0	0	0		0	0	0	1	0	1
MED1	USP32	ACH-000927	0	0	0	0	0		0	0	0	1	1	1
MGAT4C	PPP1R12A	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
MRPL45	TRPC4AP	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
MYO19	SKA2	ACH-000927	0	0	0	0	0		0	0	0	1	0	1
MYO9B	RAB22A	ACH-000927	0	0	0	0	0		0	0	0	1	0	1
NAAA	AHCTF1	ACH-000927	0	0	0	0	0		0	0	0	1	0	1
OR10J1	MEF2D	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
PHACTR3	ZFP64	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
PI3	CPNE1	ACH-000927	0	0	0	0	0		0	0	0	1	0	1
RAE1	STX16	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
SNF8	RPS6KB1	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
STAC2	ACACA	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
STXBP4	MED1	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
SYCE2	TPM4	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
SYNRG	TOB1	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
TTI1	DIDO1	ACH-000927	0	0	0	0	0		0	0	0	1	0	1
UQCC1	FITM2	ACH-000927	0	0	0	0	0		0	0	0	0	0	0
ZNF704	NCOA2	ACH-000927	0	0	0	0	0		0	0	0	1	0	0
CATSPERE	NEURL1B	ACH-000288	0	0	0	0	0		0	0	0	0	0	0
HECTD4	NAA25	ACH-000288	0	0	0	0	0		0	0	0	0	0	0
SOS1	ARIH2	ACH-000288	0	0	0	0	0		1	1	0	1	1	1
ABCG1	MX1	ACH-000535	0	0	0	0	0		0	0	0	1	0	1
LINC00393	PPM1H	ACH-000535	0	0	0	0	0		0	0	0	0	0	0
N4BP2L2	BRCA2	ACH-000009	0	0	0	0	0		0	0	0	1	0	0
PTPN14	PEX14	ACH-000009	0	0	0	0	0		0	0	0	1	0	1
SLC46A1	DPP3	ACH-000009	0	0	0	0	0		0	0	0	1	0	0
KMT2A	PKIG	ACH-000580	0	0	0	0	0		1	0	1	1	0	0
MARCH4	SPATS2L	ACH-000580	0	0	0	0	0		0	0	0	1	0	1
TRMT1L	PPP1R12B	ACH-000580	0	0	0	0	0		0	0	0	1	0	0
YAP1	NDRG3	ACH-000580	0	0	0	0	0		0	0	0	1	0	0
PCGF3	DCBLD2	ACH-000433	0	0	0	0	0		0	0	0	1	0	1
ANKS3	PRR14	ACH-000212	0	0	0	0	0		0	0	0	1	0	0
ARL15	SLC49A3	ACH-000212	0	0	0	0	0		0	0	0	1	0	0
CATSPERB	CCDC88C	ACH-000212	0	0	0	0	0		0	0	0	1	0	1
CCDC26	EDARADD	ACH-000212	0	0	0	0	0		0	0	0	0	0	0
CDH1	PAGR1	ACH-000212	0	0	0	0	0		1	1	1	1	1	1
DNAH7	SNED1	ACH-000212	0	0	0	0	0		0	0	0	1	0	1
EEF2K	ZNF720	ACH-000212	0	0	0	0	0		0	0	0	1	0	0
HOOK3	POMK	ACH-000212	0	0	0	0	0		0	0	1	1	0	0
MGRN1	BCL7C	ACH-000212	0	0	0	0	0		0	0	0	1	0	0
MRPL4	QPCTL	ACH-000212	0	0	0	0	0		0	0	0	1	0	1
NUP133	TBC1D31	ACH-000212	0	0	0	0	0		0	0	0	1	0	1
TAF6L	SLC3A2	ACH-000212	0	0	0	0	0		0	0	0	1	0	1
PI4KA	CAMSAP1	ACH-000826	0	0	0	0	0		0	0	0	1	0	0
RPS6KB1	VMP1	ACH-000826	0	0	0	0	0		0	1	0	1	0	0
CCSER1	CENPP	ACH-000902	0	0	0	0	0		0	0	0	0	0	0
CABP4	TMEM134	ACH-000142	0	0	0	0	0		0	0	0	1	0	0
OR5B12	CDCA5	ACH-000142	0	0	0	0	0		0	0	0	1	0	0
C9orf3	MIR205HG	ACH-000518	0	0	0	0	0		0	0	0	1	0	0
HAS3	CDH3	ACH-000518	0	0	0	0	0		0	0	0	1	0	1
SHB	ABCA2	ACH-000518	0	0	0	0	0		0	0	0	1	0	1
VMP1	CLTC	ACH-000518	0	0	0	0	0		0	0	0	1	0	1
WNK2	C9orf3	ACH-000518	0	0	0	0	0		0	0	1	1	0	1
NUMB	ANXA4	ACH-000457	0	0	0	0	0		0	0	0	1	0	0
PRRC2A	MSH5	ACH-000457	0	0	0	0	0		0	0	0	1	0	0
ACSL6	FNIP1	ACH-000174	0	0	0	0	0		0	0	1	1	0	1
BATF	LTBP2	ACH-000174	0	0	0	0	0		0	0	0	1	0	1
DIO1	CAMSAP2	ACH-000174	0	0	0	0	0		0	0	0	1	0	1
MT2A	EEF2	ACH-000174	0	0	0	0	0		0	0	0	1	0	1
ZNRF3	VEZF1	ACH-000174	0	0	0	0	0		0	0	1	1	0	0
ADGRE2	MFHAS1	ACH-000516	0	0	0	0	0		0	0	0	0	0	0
ANXA13	FBXO32	ACH-000516	0	0	0	0	0		0	0	0	1	0	1
DLEU1	B3GAT2	ACH-000516	0	0	0	0	0		0	0	0	1	0	1
KCNQ1	CHID1	ACH-000516	0	0	0	0	0		0	0	0	1	0	1
NRF1	CABIN1	ACH-000516	0	0	0	0	0		0	0	0	1	0	1
PCNX2	EPRS	ACH-000516	0	0	0	0	0		0	0	0	0	0	0
PPL	GLYR1	ACH-000516	0	0	0	0	0		0	0	0	1	0	1
PPP2R5C	DYNC1H1	ACH-000516	0	0	0	0	0		0	0	0	1	0	1
RASGRF2-AS1	PDSS1	ACH-000516	0	0	0	0	0		0	0	0	0	0	0
SLC22A18AS	IPO7	ACH-000516	0	0	0	0	0		0	0	0	1	0	1
UBE4B	KIF1B	ACH-000516	0	0	0	0	0		0	0	0	1	0	0
NLRC5	KATNB1	ACH-000857	0	0	0	0	0		0	0	0	1	0	1
NPLOC4	FAAP100	ACH-000857	0	0	0	0	0		0	0	0	1	0	0
PXMP4	NUP153	ACH-000857	0	0	0	0	0		0	0	0	1	0	1
HCG20	PPARD	ACH-000392	0	0	0	0	0		0	0	0	0	0	0
KRT223P	CDC6	ACH-000392	0	0	0	0	0		0	0	0	0	0	0
DHCR24	ZNF644	ACH-000264	0	0	0	0	0		0	0	0	1	0	1
FOXR1	RPS25	ACH-000264	0	0	0	0	0		0	0	1	1	0	0
GNG7	ELAVL1	ACH-000264	0	0	0	0	0		0	0	0	1	0	1
GRIK4	UGGT2	ACH-000264	0	0	0	0	0		0	0	0	1	0	0
HECW2	STK17B	ACH-000264	0	0	0	0	0		0	0	0	1	0	0
LRRC20	ARID5B	ACH-000264	0	0	0	0	0		0	0	0	1	0	0
PCCA	SORL1	ACH-000264	0	0	0	0	0		0	0	0	1	0	1
SPATS1	CDC5L	ACH-000264	0	0	0	0	0		0	0	0	1	0	0
CARNS1	XRRA1	ACH-000783	0	0	0	0	0		0	0	0	1	0	0
COL5A1	EHMT1	ACH-000783	0	0	0	0	0		0	0	0	1	0	1
IDE	CPEB3	ACH-000783	0	0	0	0	0		0	0	0	1	0	1
PPFIA1	CHKA	ACH-000783	0	0	0	0	0		0	0	0	1	0	1
PRKAG2	ST7	ACH-000783	0	0	0	0	0		0	0	0	1	0	0
ACTN1	ZFP36L1	ACH-000713	0	0	0	0	0		0	0	0	1	1	1
ADARB1	CREBBP	ACH-000713	0	0	0	0	0		0	0	0	1	0	1
CCDC88A	MTIF2	ACH-000713	0	0	0	0	0		0	0	0	1	0	1
CD3G	PHLDB1	ACH-000713	0	0	0	0	0		0	0	0	1	1	1
CMAHP	YTHDF2	ACH-000713	0	0	0	0	0		0	0	0	1	0	1
CMSS1	ADGRG7	ACH-000713	0	0	0	0	0		0	0	0	0	0	0
DECR2	RAB11FIP3	ACH-000713	0	0	0	0	0		0	0	0	1	0	0
DNAH2	CHD3	ACH-000713	0	0	0	0	0		0	0	0	1	0	0
FBXO42	EPHA2	ACH-000713	0	0	0	0	0		0	0	0	1	0	1
GLRA1	SPARC	ACH-000713	0	0	0	0	0		0	0	0	1	0	1
OFCC1	SLC52A3	ACH-000713	0	0	0	0	0		0	0	0	1	0	0
RNA28S5	TMTC3	ACH-000713	0	0	0	0	0		0	0	0	0	0	0
RUNX3	KLHL18	ACH-000713	0	0	0	0	0		0	0	0	1	0	1
SH3KBP1	SCML2	ACH-000713	0	0	0	0	0		0	0	0	1	0	0
SLC1A3	CNOT6	ACH-000713	0	0	0	0	0		0	0	0	1	0	1
SRSF3	PACSIN1	ACH-000713	0	0	0	0	0		0	0	1	1	0	1
SYTL3	IGF2R	ACH-000713	0	0	0	0	0		0	0	0	1	0	0
UBE2Q2	FBXO22	ACH-000713	0	0	0	0	0		0	0	0	1	0	0
WDR74	STX5	ACH-000713	0	0	0	0	0		0	0	0	1	0	0
C4orf19	PGM2	ACH-000103	0	0	0	0	0		0	0	0	1	0	1
CASC11	CEP170	ACH-000103	0	0	0	0	0		0	0	0	0	0	0
CNTN4	WNK1	ACH-000103	0	0	0	0	0		0	0	0	1	0	0
GHDC	RAB5C	ACH-000103	0	0	0	0	0		0	0	0	1	0	0
LINC01221	PRRC2C	ACH-000103	0	0	0	0	0		0	0	0	0	0	0
RGL1	MROH3P	ACH-000103	0	0	0	0	0		0	0	0	1	0	1
RGL3	KANK2	ACH-000103	0	0	0	0	0		0	0	0	1	0	1
RYR1	MRPS12	ACH-000103	0	0	0	0	0		0	0	0	1	0	1
SPINT2	ZNF571	ACH-000103	0	0	0	0	0		0	0	0	1	0	1
FAM96A	ZC3H13	ACH-000354	0	0	0	0	0		0	0	0	1	0	1
HELLS	ZKSCAN5	ACH-000354	0	0	0	0	0		0	0	0	1	0	0
LRRC28	IGF1R	ACH-000354	0	0	0	0	0		0	0	0	1	0	0
MEGF11	ZFAND4	ACH-000354	0	0	0	0	0		0	0	0	1	0	1
SNX17	PRKCE	ACH-000354	0	0	0	0	0		0	1	0	1	0	1
SPATA3	PSMD1	ACH-000354	0	0	0	0	0		0	0	0	1	0	0
SPIRE1	AKAP8	ACH-000354	0	0	0	0	0		0	0	0	1	0	0
ZKSCAN5	HELLS	ACH-000354	0	0	0	0	0		0	0	0	1	0	1
B4GALT3	PFDN2	ACH-000107	0	0	0	0	0		0	0	0	1	0	1
SLC35A1	TSHZ2	ACH-000107	0	0	0	0	0		0	0	0	1	0	0
FLII	TOM1L2	ACH-000329	0	0	0	0	0		0	0	0	1	0	1
MRPS10	USP49	ACH-000329	0	0	0	0	0		0	0	0	1	0	0
ELANE	DAZAP1	ACH-000963	0	0	0	0	0		0	0	0	1	0	1
